"","ID_Buzzard","sex","year","min_age","laying_date","max_age","age","Hellmann_winter","NAO_winter","voleMarch","Hellmann_cat","NAO_cat","btw_ind_avg_age","wth_ind_age_cen"
"255",96,2,1997,2,93,6,"young",131.6,0.14,10,"High","Positive",3.6,-1.6
"256",96,2,1996,1,91,6,"young",150.5,-0.7,7,"High","Negative",3.6,-2.6
"257",97,1,2007,12,99,12,"old",4.8,0.59,36,"Low","Positive",9.75,2.25
"258",97,1,2005,10,92,12,"old",32.4,0.31,32,"Low","Positive",9.75,0.25
"259",97,1,2004,9,105,12,"old",16.3,0.42,9,"Low","Positive",9.75,-0.75
"260",97,1,2003,8,94,12,"old",80.1,0,0,"Medium","Positive",9.75,-1.75
"261",98,2,2012,17,93,17,"old",88.4,1.35,22,"Medium","Positive",11.8888888888889,5.11111111111111
"262",98,2,2011,16,97,17,"old",80.6,-0.61,0,"Medium","Negative",11.8888888888889,4.11111111111111
"263",98,2,2009,14,94,17,"old",56.5,0,0,"Medium","Positive",11.8888888888889,2.11111111111111
"264",98,2,2007,12,93,17,"old",4.8,0.59,36,"Low","Positive",11.8888888888889,0.111111111111111
"265",98,2,2006,11,108,17,"old",31.5,-0.25,0,"Low","Negative",11.8888888888889,-0.888888888888889
"266",98,2,2005,10,102,17,"old",32.4,0.31,32,"Low","Positive",11.8888888888889,-1.88888888888889
"267",98,2,2005,10,126,17,"old",32.4,0.31,32,"Low","Positive",11.8888888888889,-1.88888888888889
"268",98,2,2004,9,103,17,"old",16.3,0.42,9,"Low","Positive",11.8888888888889,-2.88888888888889
"269",98,2,2003,8,99,17,"old",80.1,0,0,"Medium","Positive",11.8888888888889,-3.88888888888889
"270",99,1,2006,11,108,11,"old",31.5,-0.25,0,"Low","Negative",9.6,1.4
"271",99,1,2005,10,102,11,"old",32.4,0.31,32,"Low","Positive",9.6,0.4
"272",99,1,2005,10,126,11,"old",32.4,0.31,32,"Low","Positive",9.6,0.4
"273",99,1,2004,9,103,11,"old",16.3,0.42,9,"Low","Positive",9.6,-0.6
"274",99,1,2003,8,99,11,"old",80.1,0,0,"Medium","Positive",9.6,-1.6
"275",100,2,1998,1,93,1,"young",19.3,-0.14,0,"Low","Negative",1,0
"276",101,1,1999,4,89,4,"young",47.7,0.38,37,"Low","Positive",2.66666666666667,1.33333333333333
"277",101,1,1998,3,93,4,"young",19.3,-0.14,0,"Low","Negative",2.66666666666667,0.333333333333333
"278",101,1,1996,1,91,4,"young",150.5,-0.7,7,"High","Negative",2.66666666666667,-1.66666666666667
"279",104,2,2015,17,91,17,"old",7.8,1.42,38,"Low","Positive",13.3333333333333,3.66666666666667
"280",104,2,2014,16,102,17,"old",0,0.86,21,"Low","Positive",13.3333333333333,2.66666666666667
"281",104,2,2014,16,74,17,"old",0,0.86,21,"Low","Positive",13.3333333333333,2.66666666666667
"282",104,2,2013,15,98,17,"old",73.2,-0.42,1,"Medium","Negative",13.3333333333333,1.66666666666667
"283",104,2,2012,14,82,17,"old",88.4,1.35,22,"Medium","Positive",13.3333333333333,0.666666666666666
