"","ID_Buzzard","sex","year","min_age","laying_date"
"752",201,1,2001,3,91
"753",201,1,2000,2,104
"754",201,1,1999,1,97
"755",202,2,1999,4,107
"756",202,2,1996,1,101
"757",203,1,1999,4,107
"758",203,1,1996,1,101
"759",204,2,1999,1,91
"760",205,1,1999,1,91
"761",206,2,1999,4,89
"762",206,2,1996,1,101
"763",207,1,1999,4,89
"764",207,1,1996,1,101
"765",210,1,2001,3,104
"766",211,2,2001,6,104
"767",214,2,2001,6,106
"768",214,2,1998,3,107
"769",214,2,1997,2,125
"770",214,2,1996,1,103
"771",215,1,2001,5,106
"772",215,1,1998,2,107
"773",215,1,1997,1,125
"774",216,2,1998,1,86
"775",217,1,1998,1,86
"776",218,2,1999,1,101
"777",219,1,1999,1,101
"778",236,2,2001,6,93
"779",236,2,2000,5,103
"780",236,2,1998,3,108
"781",236,2,1998,3,108
"782",236,2,1996,1,103
"783",237,1,2001,6,93
"784",237,1,2000,5,103
"785",237,1,1998,3,108
"786",237,1,1996,1,103
"787",238,1,1998,1,108
"788",239,2,2001,6,92
"789",239,2,2000,5,95
"790",239,2,1999,4,99
"791",239,2,1998,3,97
"792",239,2,1997,2,96
"793",239,2,1996,1,96
"794",240,1,2001,6,92
"795",240,1,2000,5,95
"796",240,1,1999,4,99
"797",240,1,1998,3,97
"798",240,1,1997,2,96
"799",240,1,1996,1,96
"800",257,2,2005,9,93
"801",257,2,2004,8,100
"802",257,2,2003,7,97
"803",257,2,2001,5,94
"804",257,2,2000,4,92
"805",257,2,1999,3,91
"806",257,2,1999,3,108
"807",257,2,1998,2,107
"808",257,2,1997,1,95
"809",258,1,2005,9,93
"810",258,1,2004,8,100
"811",258,1,2003,7,97
"812",258,1,2001,5,94
"813",258,1,2000,4,92
"814",258,1,1999,3,91
"815",258,1,1999,3,108
"816",258,1,1998,2,107
"817",258,1,1997,1,95
"818",259,2,2001,4,96
"819",259,2,1999,2,94
"820",259,2,1998,1,104
"821",260,1,2001,4,96
"822",260,1,1999,2,94
"823",260,1,1998,1,104
"824",265,2,2000,4,123
"825",265,2,1999,3,85
"826",265,2,1999,3,122
"827",265,2,1998,2,96
"828",265,2,1998,2,107
"829",265,2,1997,1,92
"830",265,2,1997,1,92
"831",266,1,1999,3,85
"832",266,1,1998,2,96
"833",266,1,1997,1,92
"834",267,1,2000,4,123
"835",267,1,1999,3,122
"836",267,1,1998,2,107
"837",267,1,1997,1,92
"838",270,2,2001,5,95
"839",270,2,1999,3,88
"840",271,1,1999,3,88
"841",272,2,2005,8,87
"842",272,2,2004,7,104
"843",272,2,2001,4,103
"844",273,1,2005,8,87
"845",273,1,2004,7,104
"846",273,1,2001,4,103
"847",274,2,1997,1,89
"848",275,1,1997,1,89
"849",276,2,2005,9,86
"850",276,2,2004,8,91
